views,sentiment_score,close,volume,return,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,day,month,year
416749,-0.14888337468982632,249.66,12959310.0,0.027477369222142053,,,,,11,6,2014
1682236,0.6863057075638771,253.3,19174760.0,0.014370311883142577,,,,,16,6,2014
304711,0.04504504504504505,251.59,7504200.0,-0.006796772526730029,,,,,17,6,2014
163981,0.10869565217391305,250.87,7890720.0,-0.0028700123569976436,,,,,18,6,2014
440756,-0.03508771929824561,249.89,8963490.0,-0.003921725559246142,,,,,19,6,2014
117265,-0.12244897959183673,250.11,6944910.0,0.0008796129702931801,,,,,20,6,2014
370251,1.0784313725490196,252.3,4943100.0,0.008680142687277041,0.005402703759983006,,0.01226865139751336,,23,6,2014
212898,0.14218009478672985,257.81,6899670.0,0.021372328458942595,0.00453055507952594,,0.010531954528923401,,24,6,2014
300727,-0.48543689320388345,250.0,6756610.0,-0.03124000000000001,-0.001985203760923001,,0.016078237885781724,,25,6,2014
104389,0.0,249.24,4648100.0,-0.0030492697801315634,-0.0014498462256946488,,0.015953229504514048,,26,6,2014
152101,0.14432989690721648,249.49,4764260.0,0.0010020441701070182,-0.0008966952932511258,,0.01596290623464426,,27,6,2014
122894,0.29053856641994547,249.3,3782240.0,-0.0007621339751303558,-0.0004453250669488707,,0.015907688946994947,,30,6,2014
169980,-0.11142061281337048,250.16,2410840.0,0.0034377998081227424,-7.986980440179037e-05,,0.015972453897029917,,1,7,2014
94414,0.22099447513812154,255.19,6029760.0,0.019710803714879113,0.0014959389138270772,0.003449321336905041,0.0174559752359746,0.014636112114553273,2,7,2014
176951,0.5714285714285714,257.7,5029670.0,0.009740007760962325,-0.00016582118588439,0.0021823669468207752,0.015715332810337,0.013081279443205123,3,7,2014
194270,0.10273972602739727,253.9,5432990.0,-0.014966522252855387,0.002158961349421985,8.687879424949188e-05,0.010781573619567119,0.013326150534747883,4,7,2014
241041,1.4446870451237266,248.99,6265420.0,-0.019719667456524342,-0.0002225240329198407,-0.0008361851293072448,0.013597195769902048,0.014254844536155498,7,7,2014
135575,0.0392156862745098,249.99,7000330.0,0.004000160006400256,0.00020577822940776494,-0.00034545853192168057,0.013689106315162387,0.014297633237497075,8,7,2014
138030,0.03636363636363636,247.95,4485820.0,-0.008227465214761124,-0.000860697661968059,-0.000653011364458465,0.01406278146628916,0.014426210685341327,9,7,2014
218190,-0.03968253968253968,244.95,7532330.0,-0.012247397428046541,-0.003101440124277957,-0.0015906549643398737,0.01450634515765015,0.01474207637276744,10,7,2014
145501,0.034482758620689655,246.01,4108780.0,0.004308767936262763,-0.005301730949794578,-0.0019028960179837506,0.011278505039104653,0.014552883903062414,11,7,2014
492742,1.4792081397920815,242.0,3311240.0,-0.01657024793388426,-0.009060338906201235,-0.004613080046042812,0.009704498018023613,0.013369849437902833,14,7,2014
218678,-0.23148148148148145,241.92,5356490.0,-0.0003306878306878824,-0.006969505417320161,-0.0024052720339490887,0.00979614213282688,0.010971612151697022,15,7,2014
52517,-0.11235955056179775,244.18,4088830.0,0.009255467278237445,-0.002830200455211335,-0.0015263622440655881,0.009630962154076567,0.01140052261299251,16,7,2014
23384,-0.5882352941176471,233.7,10709070.0,-0.04484381685922131,-0.009807911436014416,-0.004801066603303325,0.01795458891047978,0.016194757699796877,17,7,2014
284157,-0.33816425120772947,231.75,7864560.0,-0.008414239482200598,-0.009834593474220055,-0.005347645568094058,0.017951987380252055,0.016177077472075793,18,7,2014
259241,0.5263157894736842,225.91,5478310.0,-0.025851002611659527,-0.011777965643307622,-0.007439702883792791,0.018964484246566174,0.01683403513996187,21,7,2014
127061,0.20242914979757085,226.76,7344200.0,0.0037484565179043672,-0.01185801013164454,-0.008579870540719558,0.018886290947213735,0.015326765824846203,22,7,2014
370690,0.050761421319796954,221.8,6242370.0,-0.022362488728584217,-0.01268547310231596,-0.010872906004258597,0.01925053217953002,0.014766274512319023,23,7,2014
322475,-0.3349282296650718,222.45,5698180.0,0.002922004944931343,-0.012220802705798927,-0.009595154061559545,0.019633895678206597,0.015153679401836626,24,7,2014
208919,0.17316017316017315,220.84,8196760.0,-0.007290345951820256,-0.014584490310092886,-0.00870734538265211,0.017497186701281343,0.014876448867538946,25,7,2014
603197,-0.639807064831891,218.21,8812750.0,-0.012052609871224945,-0.009900032168950548,-0.009853971802482481,0.01135843147603071,0.014433713400985048,28,7,2014
543534,-0.2702702702702703,220.3,6805200.0,0.009487063095778498,-0.007342703229239249,-0.008588648351729651,0.013552097976135135,0.015335560916752573,29,7,2014
761171,-0.47619047619047616,224.0,9399760.0,0.01651785714285709,-0.001290008978594017,-0.00653398731095082,0.013368368129825435,0.016676053530690512,30,7,2014
358871,-0.4155844155844156,223.0,5640440.0,-0.004484304932735426,-0.0024661177572568448,-0.007162063944450692,0.013212458563767885,0.016399561510448593,31,7,2014
207738,-0.41509433962264153,221.79,5781690.0,-0.0054556111637134586,-5.0849533703879214e-05,-0.006368161318009919,0.01016244078828454,0.016176590746519417,1,8,2014
496329,0.6794954708540499,219.9,3908940.0,-0.008594815825375109,-0.0016961096437476582,-0.006958456174773293,0.01052666888658278,0.016089881622835235,4,8,2014
358585,-0.06472491909385114,220.0,3604190.0,0.0004545454545454287,-0.0005896965856954174,-0.007587093447894151,0.010243903354211523,0.015571236970277697,5,8,2014
1054461,-0.20790020790020788,219.55,5711540.0,-0.002049647005237935,0.000839298109445584,-0.004530367029752481,0.009000594692827447,0.011313077097633852,6,8,2014
259237,-0.6569343065693432,221.0,7628050.0,0.006561085972850628,0.00042130137759874536,-0.0034607009258202513,0.00859065574881067,0.01162137136376355,7,8,2014
1430630,-0.39215686274509803,219.54,3810580.0,-0.006650268743736941,-0.002888430891914688,-0.0020892199352543525,0.005115725751271419,0.009759594224879698,8,8,2014
517435,0.4515745692216281,221.38,4453750.0,0.008311500587225601,-0.0010604586747773985,-0.0017632882160171215,0.00653866925770859,0.010041663641136784,11,8,2014
1614400,-0.11869436201780414,221.65,3489390.0,0.001218136702007716,-0.00010706612253151618,-7.895782811769758e-05,0.006272122234533549,0.00811313930357097,12,8,2014
1144335,-0.2061855670103093,225.99,6812810.0,0.01920438957475996,0.0038642489346306366,0.0010840696454414895,0.0084313712516333,0.009606104751683924,13,8,2014
759856,-0.17632241813602015,226.3,4673440.0,0.0013698630136986401,0.0039950085859382384,0.0017026560001214106,0.008376597596804829,0.009299288577682252,14,8,2014
304581,-0.20833333333333331,225.0,3531470.0,-0.005777777777777829,0.003462418475575397,0.0021508582925104905,0.008925508858585056,0.008718394086636251,15,8,2014
395340,-0.38553034947884735,224.68,2300560.0,-0.0014242478191204965,0.0023216565052938077,0.0013714789414462764,0.008973634087473923,0.008497024697470176,18,8,2014
259552,0.12422360248447203,227.4,5336200.0,0.0119613016710642,0.0049804522788368276,0.00104601069346107,0.008622640777870172,0.007941328758806163,19,8,2014
434685,-0.1851851851851852,231.54,8633490.0,0.017880279865250006,0.006347420747126028,0.0026434810361743153,0.009902264499248185,0.008931028877767654,20,8,2014
486993,-0.13937282229965156,233.0,3762610.0,0.0062660944206008925,0.007068557564067911,0.0034807457207681977,0.009646984367088184,0.008658639357239357,21,8,2014
534172,-0.21220159151193632,230.03,3994060.0,-0.01291135938790592,0.002480593426544213,0.003172421180587425,0.01051156983676139,0.009182707362937833,22,8,2014
277541,1.388615531952598,231.69,1977830.0,0.007164745996806062,0.0033084338527024164,0.0036517212193203272,0.010636955449844575,0.009205028300920688,25,8,2014
168976,0.28,229.22,1947630.0,-0.010775674024954187,0.002594448674534365,0.0030284335750548805,0.011482619884888043,0.009890665402471304,26,8,2014
378283,0.07380073800738007,231.69,3600420.0,0.010660796754283736,0.004320883613592113,0.00332127005944296,0.01168442954797056,0.010062501589836896,27,8,2014
204059,-0.06315789473684211,228.99,5338320.0,-0.011790907899908243,0.0009277108177389063,0.0029540815482878673,0.012515149815942102,0.010536967707606135,28,8,2014
997736,-0.02109704641350211,226.0,3224570.0,-0.013230088495575262,-0.0035166275195218457,0.0014153966138020914,0.010913008527944848,0.011243595280418585,29,8,2014
445039,-0.016839511724422225,229.0,4709250.0,0.013100436681222707,-0.002540292910861587,0.002264132326603162,0.012167683290883101,0.011668023266603185,1,9,2014
93482,-0.22421524663677128,230.5,2884730.0,0.006507592190889371,0.00023384302896631206,0.0013572182277552627,0.011609977702089665,0.01070361442108493,2,9,2014
198561,0.45454545454545453,236.13,8965910.0,0.023842798458476245,0.0026164219520620523,0.002962427902382234,0.014596563966151025,0.01227537587331991,3,9,2014
469376,0.5063291139240507,236.54,3670470.0,0.0017333220596939063,0.0044034213927260655,0.0034989350336302157,0.01340047349575991,0.01202559077077971,4,9,2014
558039,-0.1680672268907563,238.0,4843110.0,0.006134453781512638,0.0037568009680444803,0.0040388422908182965,0.013155170342009224,0.011957038692563949,5,9,2014
616802,-0.0696561620294135,234.02,4822180.0,-0.017007093410819542,0.0030116316093428655,0.001969671213540886,0.014282110940413333,0.012946177183033241,8,9,2014
